id,student_id,date,duration_min,amount
45e0c806,346ca582,2025-05-02,60,20.0
9aeb747c,d1076f9d,2025-05-02,60,20.0
e34556f6,0ce53445,2025-05-02,60,20.0
76e71365,1ee0659f,2025-05-02,60,23.0
b13fc85c,d5147f4d,2025-05-02,60,18.0
f0604890,08833181,2025-05-02,60,20.0
76339585,d1076f9d,2025-05-03,60,20.0
0d08cc8a,346ca582,2025-05-03,60,20.0
4bc22779,42b54fd1,2025-05-03,60,20.0
e9ecd1f7,d5147f4d,2025-05-03,60,18.0
46bb318f,d1076f9d,2025-05-04,60,20.0
d88f6e32,346ca582,2025-05-05,60,20.0
7ee01f15,d5147f4d,2025-05-05,60,18.0
9340c993,08833181,2025-05-05,60,20.0
7560403a,cb66988c,2025-05-05,60,20.0
af81a40d,541845ea,2025-05-05,60,20.0
8f494c06,3b55f071,2025-05-05,60,20.0
21b38e4d,54be4918,2025-05-05,60,18.0
d63cf7ca,54b18081,2025-05-05,60,20.0
df0d4027,346ca582,2025-05-06,60,20.0
e12ae6f5,0ce53445,2025-05-06,90,30.0
43b10aea,cb66988c,2025-05-06,60,20.0
b509180b,54be4918,2025-05-06,60,18.0
6d18593f,3b55f071,2025-05-06,60,20.0
c10cf285,1ee0659f,2025-05-06,60,23.0
1f6ade6a,346ca582,2025-05-07,60,20.0
9c8037d9,cb66988c,2025-05-07,60,20.0
728cfe73,3b55f071,2025-05-07,60,20.0
cb0ce90a,54be4918,2025-05-07,60,18.0
e5041d83,ef18c8b8,2025-05-07,60,18.0
dd123868,0ce53445,2025-05-08,90,30.0
a573e9e5,2e27780d,2025-05-08,60,23.0
861185c7,1ee0659f,2025-05-08,60,23.0
d3dc183d,ef18c8b8,2025-05-08,60,18.0
021e92bd,08833181,2025-05-08,60,20.0
64b02d2d,54be4918,2025-05-09,60,18.0
7ae40fcd,ef18c8b8,2025-05-09,60,18.0
86728e23,346ca582,2025-05-10,60,20.0
b6956def,08833181,2025-05-10,60,20.0
c2652840,d5147f4d,2025-05-10,60,18.0
e34fb9bb,1ee0659f,2025-05-10,60,23.0
ef61d6c5,ef18c8b8,2025-05-10,30,9.0
3aea2d60,346ca582,2025-05-11,60,20.0
a90bbf51,346ca582,2025-05-12,60,20.0
f858d10c,cb66988c,2025-05-12,60,20.0
1c2d6e80,541845ea,2025-05-12,60,20.0
d13a5eea,3b55f071,2025-05-12,60,20.0
3522962b,2e27780d,2025-05-12,60,23.0
20f7a50a,ef18c8b8,2025-05-12,60,18.0
a66e8e28,d5147f4d,2025-05-12,60,18.0
f42547df,54be4918,2025-05-12,60,18.0
d645ff34,346ca582,2025-05-13,60,20.0
829c822a,cb66988c,2025-05-13,60,20.0
9c27dec0,83a40bac,2025-05-13,30,11.5
008dc72b,fdbb556e,2025-05-13,30,11.5
75c1d49a,a3437ed9,2025-05-13,60,23.0
3b641fe2,1ee0659f,2025-05-13,60,23.0
c3c8aba4,0ce53445,2025-05-13,60,20.0
21155bf3,649e03a0,2025-05-13,30,11.5
3e72eebd,346ca582,2025-05-14,60,20.0
b65e27e7,cb66988c,2025-05-14,60,20.0
09de989f,83a40bac,2025-05-14,60,23.0
b5078c7e,54be4918,2025-05-14,60,18.0
262890f1,d1076f9d,2025-05-14,60,20.0
8495d7f8,3b55f071,2025-05-14,60,20.0
1677dc84,08833181,2025-05-14,60,20.0
21ee1fcd,83a40bac,2025-05-15,60,23.0
586fb5c3,1ee0659f,2025-05-15,60,23.0
5ec958c0,0ce53445,2025-05-15,60,20.0
333e96a8,08833181,2025-05-15,60,20.0
52f7001f,a3437ed9,2025-05-15,60,23.0
58c5d910,346ca582,2025-05-16,60,20.0
d14d0cfd,08833181,2025-05-16,60,20.0
a44e09a8,83a40bac,2025-05-16,60,23.0
3df7be7e,54be4918,2025-05-16,60,18.0
bc119a34,42b54fd1,2025-05-16,60,20.0
9ba9c5fa,1ee0659f,2025-05-16,60,23.0
1ae3778f,fdbb556e,2025-05-16,60,23.0
d32b8b74,8b3d34f1,2025-05-16,60,23.0
e84c27eb,541845ea,2025-05-17,60,20.0
9b126192,08833181,2025-05-17,60,20.0
ab504c2c,a3437ed9,2025-05-17,60,23.0
48bf34b4,0ce53445,2025-05-17,60,20.0
ccefc7af,83a40bac,2025-05-17,60,23.0
2ff125d8,54be4918,2025-05-19,60,18.0
a60cf104,8b3d34f1,2025-05-19,60,23.0
23e4b1cd,d1076f9d,2025-05-19,60,20.0
